"PUBLICATION DATE","REFERENCE YEAR","INDUSTRY","UNIT","FORECAST VALUE","REVISION REASON"
"20230426","2023","Private","Thousands of Jobs","4,065.913",
"20230426","2023","Financial Activities","Thousands of Jobs","485.893",
"20230426","2023","Securities","Thousands of Jobs","189.061",
"20230426","2023","Professional & Business Services","Thousands of Jobs","792.56",
"20230426","2023","Information","Thousands of Jobs","235.385",
"20230426","2023","Education","Thousands of Jobs","260.111",
"20230426","2023","Health & Social Services","Thousands of Jobs","888.999",
"20230426","2023","Leisure & Hospitality","Thousands of Jobs","440.641",
"20230426","2023","Wholesale & Retail Trade","Thousands of Jobs","435.072",
"20230426","2023","Transportation & Utilities","Thousands of Jobs","151.713",
"20230426","2023","Construction","Thousands of Jobs","144.984",
"20230426","2023","Manufacturing","Thousands of Jobs","52.726",
"20230426","2023","Other Services","Thousands of Jobs","181.956",
"20230426","2023","Government","Thousands of Jobs","580.395",
"20230426","2024","Total","Thousands of Jobs","4,723.034",
"20230426","2024","Private","Thousands of Jobs","4,142.279",
"20230426","2024","Financial Activities","Thousands of Jobs","485.59",
"20230426","2024","Securities","Thousands of Jobs","189.831",
"20230426","2024","Professional & Business Services","Thousands of Jobs","813.463",
"20230426","2024","Information","Thousands of Jobs","239.717",
"20230426","2024","Education","Thousands of Jobs","265.023",
"20230426","2024","Health & Social Services","Thousands of Jobs","914.632",
"20230426","2024","Leisure & Hospitality","Thousands of Jobs","455.856",
"20230426","2024","Wholesale & Retail Trade","Thousands of Jobs","433.619",
"20230426","2024","Transportation & Utilities","Thousands of Jobs","154.011",
"20230426","2024","Construction","Thousands of Jobs","147.975",
"20230426","2024","Manufacturing","Thousands of Jobs","52.177",
"20230426","2024","Other Services","Thousands of Jobs","184.263",
"20230426","2024","Government","Thousands of Jobs","580.755",
"20240116","2022","Total","Thousands of Jobs","4,537.367",
"20240116","2022","Private","Thousands of Jobs","3,971.2",
"20240116","2022","Financial Activities","Thousands of Jobs","486.942",
"20240116","2022","Securities","Thousands of Jobs","190.758",
"20240116","2022","Professional & Business Services","Thousands of Jobs","775.7",
"20240116","2022","Information","Thousands of Jobs","235.108",
"20240116","2022","Education","Thousands of Jobs","255.383",
"20240116","2022","Health & Social Services","Thousands of Jobs","852.708",
"20240116","2022","Leisure & Hospitality","Thousands of Jobs","402.933",
"20240116","2022","Wholesale & Retail Trade","Thousands of Jobs","435.675",
"20240116","2022","Transportation & Utilities","Thousands of Jobs","147.208",
"20240116","2022","Construction","Thousands of Jobs","143.367",
"20240116","2022","Manufacturing","Thousands of Jobs","57.675",
"20240116","2022","Other Services","Thousands of Jobs","178.5",
"20240116","2022","Government","Thousands of Jobs","566.167",
"20240116","2023","Total","Thousands of Jobs","4,679.586",
"20240116","2023","Private","Thousands of Jobs","4,105.097",
"20240116","2023","Financial Activities","Thousands of Jobs","495.561",
"20240116","2023","Securities","Thousands of Jobs","192.355",
"20240116","2023","Professional & Business Services","Thousands of Jobs","785.609",
"20240116","2023","Information","Thousands of Jobs","221.796",
"20240116","2023","Education","Thousands of Jobs","265.926",
"20240116","2023","Health & Social Services","Thousands of Jobs","926.691",
"20240116","2023","Leisure & Hospitality","Thousands of Jobs","439.575",
"20240116","2023","Wholesale & Retail Trade","Thousands of Jobs","433.713",
"20240116","2023","Transportation & Utilities","Thousands of Jobs","142.566",
"20240116","2023","Construction","Thousands of Jobs","153.9",
"20240116","2023","Manufacturing","Thousands of Jobs","57.745",
"20240116","2023","Other Services","Thousands of Jobs","183.861",
"20240116","2023","Government","Thousands of Jobs","574.489",
"20240116","2024","Total","Thousands of Jobs","4,759.361",
"20240116","2024","Private","Thousands of Jobs","4,183.634",
"20240116","2024","Financial Activities","Thousands of Jobs","496.847",
"20240116","2024","Securities","Thousands of Jobs","192.374",
"20240116","2024","Professional & Business Services","Thousands of Jobs","794.076",
"20240116","2024","Information","Thousands of Jobs","219.218",
"20240116","2024","Education","Thousands of Jobs","273.392",
"20240116","2024","Health & Social Services","Thousands of Jobs","956.434",
"20240116","2024","Leisure & Hospitality","Thousands of Jobs","466.425",
"20240116","2024","Wholesale & Retail Trade","Thousands of Jobs","433.996",
"20240116","2024","Transportation & Utilities","Thousands of Jobs","144.151",
"20240116","2024","Construction","Thousands of Jobs","159.254",
"20240116","2024","Manufacturing","Thousands of Jobs","55.152",
"20240116","2024","Other Services","Thousands of Jobs","184.558",
"20240116","2024","Government","Thousands of Jobs","575.727",
"20240424","2023","Total","Thousands of Jobs","4,670.333",
"20240424","2023","Private","Thousands of Jobs","4,102.792",
"20240424","2023","Financial Activities","Thousands of Jobs","501.9",
"20240424","2023","Securities","Thousands of Jobs","198.542",
"20240424","2023","Professional & Business Services","Thousands of Jobs","798.858",
"20240424","2023","Information","Thousands of Jobs","223.183",
"20240424","2023","Education","Thousands of Jobs","256.025",
"20240424","2023","Health & Social Services","Thousands of Jobs","919.5",
"20240424","2023","Leisure & Hospitality","Thousands of Jobs","434.175",
"20240424","2023","Wholesale & Retail Trade","Thousands of Jobs","437.308",
"20240424","2023","Transportation & Utilities","Thousands of Jobs","149.25",
"20240424","2023","Construction","Thousands of Jobs","143",
"20240424","2023","Manufacturing","Thousands of Jobs","57.742",
"20240424","2023","Other Services","Thousands of Jobs","181.85",
